Frequency,Total,Op Amp V,Op Amp I,Rf,Rin,Op Amp 2 V,Op Amp 2 I,Rfilter
50000,2.274428912734208e-7,2.8152484499090204e-8,5.019306657575101e-10,2.2424811360041525e-7,1.0562659392913567e-11,1.6449186291010226e-8,3.0758646222515418e-12,1.7230756859909518e-8
52000,2.275106174014474e-7,2.889677148435755e-8,5.018728614360183e-10,2.242222883003553e-7,1.0422700259319288e-11,1.6449119897616735e-8,3.0755561228536833e-12,1.7228900103921893e-8
54000,2.275809346282539e-7,2.9650105530341822e-8,5.018127881426824e-10,2.2419544928925804e-7,1.0296080290662066e-11,1.6449050901401656e-8,3.0752356280711278e-12,1.7226971139274097e-8
56000,2.2765383554400134e-7,3.041177491343991e-8,5.017504456294412e-10,2.2416759645629682e-7,1.0181124873508181e-11,1.6448979302461993e-8,3.074903149686142e-12,1.7224970035458113e-8
58000,2.2772931247239266e-7,3.118112892840695e-8,5.016858336385758e-10,2.2413872968633038e-7,1.0076410168668905e-11,1.6448905100898413e-8,3.0745586999143826e-12,1.7222896864522472e-8
60000,2.278073574720872e-7,3.1957572254954485e-8,5.016189519026801e-10,2.2410884885988928e-7,9.980719557051409e-12,1.6448828296815226e-8,3.074202291403661e-12,1.7220751701064993e-8
62500,2.2790851254731135e-7,3.293726973898937e-8,5.015321574807548e-10,2.2407007162088874e-7,9.872219429414614e-12,1.644872863208291e-8,3.073739983754087e-12,1.7217969125018184e-8
65000,2.280136507938798e-7,3.39262301065711e-8,5.014418155858159e-10,2.2402970947348234e-7,9.774468185432094e-12,1.644862490130164e-8,3.073259037529611e-12,1.7215074337601613e-8
67500,2.2812275497601718e-7,3.4923585921274696e-8,5.013479256312846e-10,2.2398776215560344e-7,9.686019651947174e-12,1.644851710469926e-8,3.072759480262598e-12,1.7212067501206822e-8
70000,2.2823580722774667e-7,3.592855670946342e-8,5.012504870065899e-10,2.2394422939446676e-7,9.60565769086786e-12,1.644840524251254e-8,3.0722413405256326e-12,1.7208948784362206e-8
72500,2.2835278905794326e-7,3.694043892416764e-8,5.011494990770752e-10,2.2389911090652596e-7,9.53235394189587e-12,1.6448289314987187e-8,3.0717046479270512e-12,1.7205718361706813e-8
75000,2.2847368135553678e-7,3.7958597118018176e-8,5.010449611838962e-10,2.2385240639742863e-7,9.465234318724808e-12,1.6448169322377812e-8,3.071149433106288e-12,1.7202376413963032e-8
80000,2.287271178411669e-7,4.001149456648319e-8,5.008252327496602e-10,2.2375423808406717e-7,9.346667153979158e-12,1.644791714297004e-8,3.069983564482542e-12,1.7195358696347302e-8
82500,2.2885962075622207e-7,4.104523824031206e-8,5.007100407691123e-10,2.2370277363668025e-7,9.294027028298368e-12,1.644778495672546e-8,3.069372977070024e-12,1.7191683318079626e-8
85000,2.289959516041151e-7,4.20832555005469e-8,5.005912959457252e-10,2.236497218818045e-7,9.245154256423962e-12,1.644764870650449e-8,3.068744000205897e-12,1.71878971978714e-8
87500,2.2913608825713863e-7,4.312515232601618e-8,5.004689974982728e-10,2.2359508247041075e-7,9.199633995616686e-12,1.644750839260632e-8,3.0680966696101387e-12,1.7184000546422443e-8
90000,2.2928000800181935e-7,4.417056832350626e-8,5.003431446207683e-10,2.2353885504240737e-7,9.157104611524052e-12,1.6447364015339047e-8,3.06743102200279e-12,1.7179993580333966e-8
92500,2.2942768754506582e-7,4.521917315291215e-8,5.002137364823723e-10,2.2348103922659942e-7,9.117249763139921e-12,1.6447215575019676e-8,3.066747095098261e-12,1.7175876522075233e-8
97500,2.2973422999450815e-7,4.732475967396274e-8,4.999442509747643e-10,2.233606408910392e-7,9.044486370429389e-12,1.6446906506537215e-8,3.065324559192014e-12,1.7167313048058123e-8
100000,2.2989304347338133e-7,4.838120439026092e-8,4.998041718188336e-10,2.2329805757303305e-7,9.01111759692602e-12,1.644674587905266e-8,3.0645860305377505e-12,1.7162867106266375e-8
105000,2.3022162720711015e-7,5.0500203944938624e-8,4.995133360471526e-10,2.2316812055659553e-7,8.949447118434338e-12,1.6446412439359993e-8,3.0630546599812268e-12,1.715364804103409e-8
110000,2.3056464331350505e-7,5.262595724370903e-8,4.99208257159947e-10,2.2303182012782637e-7,8.893492424420594e-12,1.644606275582384e-8,3.0614511605132486e-12,1.7143994437015306e-8
115000,2.3092187234833486e-7,5.4756989939703287e-8,4.988889269986622e-10,2.2288915264171896e-7,8.842228516982284e-12,1.6445696831514205e-8,3.0597758919258397e-12,1.7133908416749865e-8
120000,2.3129308655516752e-7,5.689201676921813e-8,4.985553369967469e-10,2.227401142709859e-7,8.794832132311399e-12,1.6445314669643294e-8,3.058029229000427e-12,1.7123392191268774e-8
125000,2.3167805009416025e-7,5.902990855065955e-8,4.982074781783255e-10,2.2258470100546535e-7,8.750636463391136e-12,1.6444916273565476e-8,3.0562115612804507e-12,1.7112448058760838e-8
130000,2.3207651927514062e-7,6.116966569320958e-8,4.978453411573607e-10,2.2242290865174724e-7,8.709097271624959e-12,1.6444501646777146e-8,3.05432329283612e-12,1.7101078403193235e-8
135000,2.3248824279440223e-7,6.331039680120203e-8,4.974689161373723e-10,2.2225473283304717e-7,8.669767237743581e-12,1.6444070792916678e-8,3.0523648420216205e-12,1.708928569288776e-8
140000,2.329129619746503e-7,6.545130129114104e-8,4.970781929117878e-10,2.2208016898936383e-7,8.632276346654403e-12,1.644362371576433e-8,3.050336641225023e-12,1.7077072479054304e-8
145000,2.3335041100753387e-7,6.759165518730345e-8,4.966731608649827e-10,2.218992123779428e-7,8.596316741544967e-12,1.644316041924214e-8,3.048239136611201e-12,1.7064441394283158e-8
150000,2.3380031719823017e-7,6.973079945002652e-8,4.96253808974091e-10,2.2171185807408638e-7,8.561630923386505e-12,1.6442680907413847e-8,3.0460727878580316e-12,1.7051395150998037e-8
155000,2.3426240121154792e-7,7.18681303336428e-8,4.958201258116555e-10,2.2151810097233668e-7,8.528002479344304e-12,1.644218518448477e-8,3.0438380678861847e-12,1.7037936539871354e-8
160000,2.3473637731904487e-7,7.400309138005849e-8,4.953720995491862e-10,2.2131793578806664e-7,8.49524874054402e-12,1.6441673254801736e-8,3.041535462582807e-12,1.7024068428203655e-8
165000,2.352219536466671e-7,7.613516673763288e-8,4.949097179617087e-10,2.2111135705951073e-7,8.463214924529074e-12,1.6441145122852935e-8,3.0391654705193857e-12,1.7009793758268905e-8
170000,2.357188324224459e-7,7.826387555956046e-8,4.944329684333712e-10,2.2089835915027114e-7,8.431769429516653e-12,1.6440600793267845e-8,3.0367286026641328e-12,1.6995115545627517e-8
175000,2.3622671022380338e-7,8.038876728602412e-8,4.939418379641887e-10,2.2067893625233034e-7,8.400800029035407e-12,1.64400402708171e-8,3.034225382089167e-12,1.6980036877408868e-8
180000,2.367452782240471e-7,8.250941765343746e-8,4.934363131779983e-10,2.204530823896054e-7,8.370210775483085e-12,1.6439463560412385e-8,3.031656343672841e-12,1.696456091056521e-8
185000,2.3727422243765747e-7,8.462542530471254e-8,4.929163803317022e-10,2.2022079142207737e-7,8.339919465656701e-12,1.643887066710631e-8,3.0290220337974975e-12,1.6948690870098778e-8
190000,2.3781322396399608e-7,8.673640889862277e-8,4.923820253258737e-10,2.1998205705053e-7,8.30985555463707e-12,1.643826159609228e-8,3.0263230100430063e-12,1.6932430047263986e-8
195000,2.3836195922909127e-7,8.884200463545175e-8,4.918332337168024e-10,2.1973687282193088e-7,8.279958429563727e-12,1.643763635270438e-8,3.0235598408763756e-12,1.691578179774661e-8
200000,2.3892010022518346e-7,9.094186413134293e-8,4.912699907300531e-10,2.1948523213548954e-7,8.250175973963828e-12,1.6436994942417253e-8,3.0207331053377726e-12,1.6898749539821748e-8
210000,2.400632666296706e-7,9.512304719774075e-8,4.90100089964697e-10,2.189625542884709e-7,8.190782080884895e-12,1.643566364374576e-8,3.0148913022645764e-12,1.686354697361114e-8
220000,2.412400193744515e-7,9.92774156115314e-8,4.888721988375285e-10,2.1841396802395425e-7,8.131385820594025e-12,1.643426774668065e-8,3.00880243248065e-12,1.6826850875467967e-8
230000,2.4244759857461294e-7,1.0340257896170298e-7,4.875861890132084e-10,2.178394160054198e-7,8.071775530021965e-12,1.6432807300064628e-8,3.0024714762295437e-12,1.6788690652882377e-8
240000,2.4368319538886893e-7,1.074962672950104e-7,4.862419287566274e-10,2.1723883937742796e-7,8.011797529809087e-12,1.6431282354975538e-8,2.9959035518490688e-12,1.6749096532429298e-8
250000,2.449439589091583e-7,1.1155630684096598e-7,4.848392838046304e-10,2.1661217815508212e-7,7.951342630402085e-12,1.6429692964721363e-8,2.9891039051903795e-12,1.6708099497670663e-8
260000,2.462270028024049e-7,1.1558060121827076e-7,4.83378118374138e-10,2.1595937167442696e-7,7.890336096453004e-12,1.6428039184835082e-8,2.9820778989871506e-12,1.6665731226757442e-8
270000,2.475294116985377e-7,1.1956711679003692e-7,4.818582963139193e-10,2.1528035910702787e-7,7.828730082099522e-12,1.6426321073069265e-8,2.9748310022127174e-12,1.662202402995324e-8
280000,2.488482473243626e-7,1.2351387120235753e-7,4.802796824064425e-10,2.1457508004159996e-7,7.76649785667e-12,1.6424538689390495e-8,2.9673687794618173e-12,1.6577010787294036e-8
290000,2.5018055438781745e-7,1.2741892439935388e-7,4.78642143825274e-10,2.13843475135132e-7,7.703629344969001e-12,1.6422692095973527e-8,2.9596968803921737e-12,1.6530724886590487e-8
300000,2.5152336622148403e-7,1.3128037159214214e-7,4.769455517524148e-10,2.130854868354653e-7,7.640127644834115e-12,1.6420781357195314e-8,2.9518210292596316e-12,1.6483200161970167e-8
310000,2.528737101979284e-7,1.3509633779201944e-7,4.751897831587396e-10,2.123010601767428e-7,7.576006279818276e-12,1.6418806539628757e-8,2.943747014578783e-12,1.643447083314712e-8
320000,2.542286129325081e-7,1.3886497361492112e-7,4.733747227493664e-10,2.1149014364854376e-7,7.51128701110125e-12,1.6416767712036293e-8,2.935480678939309e-12,1.6384571445595565e-8
335000,2.56263022081491e-7,1.4442519206032395e-7,4.705407325574624e-10,2.102239987447702e-7,7.413150230927779e-12,1.6413589607637096e-8,2.9227334604004884e-12,1.6307604715270913e-8
350000,2.582910324538087e-7,1.4986872901381725e-7,4.67572799161074e-10,2.088980118887423e-7,7.31384830678654e-12,1.6410267889429843e-8,2.9095867747941492e-12,1.6228202046540423e-8
370000,2.609680036497229e-7,1.5693493406470593e-7,4.634068291443976e-10,2.0703677689895407e-7,7.179864503666731e-12,1.640561598278407e-8,2.891471220807607e-12,1.611874822623879e-8
385000,2.6294280113055313e-7,1.6208307550989583e-7,4.601256761805888e-10,2.055708525935362e-7,7.078378696309159e-12,1.640196019399311e-8,2.8774706740710465e-12,1.603412464977166e-8
400000,2.6487871608561224e-7,1.6709492181761547e-7,4.567102710148006e-10,2.040449482847145e-7,6.9762052191481656e-12,1.6398161698956878e-8,2.8631376875032705e-12,1.5947461891180025e-8
415000,2.667663625449635e-7,1.7196479880259956e-7,4.5316081635273713e-10,2.0245915453553862e-7,6.87349698791844e-12,1.6394220793373465e-8,2.8484922250752704e-12,1.5858878214998208e-8
