Time Axis,Pulse Response
0.0005026389029966952
1.5625e-8,0.00050535147017002
3.125e-8,0.0006594452740830343
4.6875e-8,0.0015369718689625155
6.25e-8,0.003974195825885347
7.812499999999999e-8,0.008853250767847317
9.375e-8,0.01697807220840532
1.09375e-7,0.029011823946023977
1.25e-7,0.045451745850969956
1.40625e-7,0.06662621396508424
1.5624999999999999e-7,0.09270445554911139
1.71875e-7,0.12371295464801356
1.875e-7,0.15955486547888073
2.03125e-7,0.20003019767351035
2.1875e-7,0.24485545243065004
2.3437499999999998e-7,0.2936819651406251
2.5e-7,0.3461125710969049
2.65625e-7,0.4017164348981907
2.8125e-7,0.4600420210148633
2.9687499999999996e-7,0.5206282645683185
3.1249999999999997e-7,0.5830140479310982
3.28125e-7,0.64674611322629
3.4375e-7,0.7113855514273613
3.59375e-7,0.7765130107891905
3.75e-7,0.8417327641284149
3.9062499999999997e-7,0.9066757681529944
4.0625e-7,0.9710018399786029
4.21875e-7,1.0344010670294632
4.375e-7,1.0965945572531466
4.53125e-7,1.157334627329266
4.6874999999999996e-7,1.216404517537086
4.84375e-7,1.2736177132990643
5e-7,1.3288169452140306
5.156249999999999e-7,1.3818729316776317
5.3125e-7,1.4326829209782772
5.46875e-7,1.4811690830583149
5.625e-7,1.5272767949368597
5.78125e-7,1.570972858090118
5.937499999999999e-7,1.612243680860439
6.09375e-7,1.6510934541968934
6.249999999999999e-7,1.6875423446964286
6.40625e-7,1.7216247249928094
6.5625e-7,1.7533874580073237
6.718749999999999e-7,1.7828882484070725
6.875e-7,1.8101940717900427
7.031249999999999e-7,1.835379689607931
7.1875e-7,1.8585262556250384
7.34375e-7,1.8797200177723838
7.5e-7,1.8990511175690306
7.65625e-7,1.9166124878267754
7.812499999999999e-7,1.932498848110138
7.96875e-7,1.946805796371908
8.125e-7,1.9596289943076328
8.28125e-7,1.9710634432531609
8.4375e-7,1.9812028468717866
8.593749999999999e-7,1.9901390564266102
8.75e-7,1.997961594095306
8.906249999999999e-7,2.0047572495455532
9.0625e-7,2.0106097448376943
9.21875e-7,2.0155994626454947
9.374999999999999e-7,2.019803232775908
9.53125e-7,2.0232941720148654
9.6875e-7,2.0261415724197476
9.84375e-7,2.0284108333124253
0.000001,2.0301634323924085
0.000001015625,2.031456931581357
0.0000010312499999999999,2.0323450134221144
0.000001046875,2.032877544082538
0.0000010625,2.033100659252016
0.000001078125,2.0330568694627877
0.00000109375,2.0327851816155067
0.0000011093749999999999,2.0323212337358445
0.000001125,2.0316974402337875
0.000001140625,2.0309431451773983
0.00000115625,2.030084781326388
0.000001171875,2.0291460328963375
0.0000011874999999999999,2.0281480002406433
0.000001203125,2.0271093648432577
0.00000121875,2.02604655321037
0.000001234375,2.0249738984328087
0.0000012499999999999999,2.0239037983628414
0.0000012656249999999998,2.0228468695090527
0.00000128125,2.021812095901079
0.000001296875,2.020806972312275
0.0000013125,2.0198376413531456
0.0000013281249999999999,2.0189090240618124
0.0000013437499999999998,2.018024943720369
0.000001359375,2.0171882427180834
0.000001375,2.0164008923645116
0.000001390625,2.0156640956282375
0.0000014062499999999999,2.01497838284067
0.0000014218749999999998,2.0143437004596465
0.0000014375,2.0137594930350873
0.000001453125,2.0132247785592186
0.00000146875,2.0127382174173913
0.0000014843749999999999,2.012298175182961
0.0000015,2.0119027795214253
0.000001515625,2.0115499714857537
0.00000153125,2.0112375514968965
0.000001546875,2.0109632203114565
0.0000015624999999999999,2.0107246152828084
0.000001578125,2.01051934222304
0.00000159375,2.0103450031713304
0.000001609375,2.0101992203701906
0.000001625,2.0100796567446833
0.0000016406249999999999,2.009984033171678
0.00000165625,2.009910142816641
0.000001671875,2.009855862804712
0.0000016875,2.0098191634811506
0.0000017031249999999999,2.009798115503772
0.0000017187499999999998,2.0097908949970997
0.000001734375,2.009795786984658
0.00000175,2.009811187302386
0.000001765625,2.00983560318268
0.0000017812499999999999,2.009867652685152
0.0000017968749999999998,2.0099060631370276
0.0000018125,2.009949668733173
0.000001828125,2.00999740743322
0.00000184375,2.010048317281126
0.0000018593749999999999,2.0101015322609195
0.0000018749999999999998,2.010156277791209
0.000001890625,2.010211865950556
0.00000190625,2.0102676905157866
0.0000019218749999999997,2.0103232218859306
0.0000019375,2.0103780019557154
0.000001953125,2.010431638994305
0.00000196875,2.010483802577395
0.000001984375,2.010534218613731
0.000002,2.010582664500675
0.000002015625,2.0106262518703435
0.00000203125,2.010516178548786
0.0000020468749999999998,2.0096802974676455
0.0000020624999999999997,2.007282282439527
0.000002078125,2.002439968254254
0.00000209375,1.9943494142019964
0.000002109375,1.9823474742747202
0.000002125,1.965936946210013
0.000002140625,1.9447895084554991
0.00000215625,1.918736002415711
0.000002171875,1.8877500244058123
0.0000021875,1.8519285100009657
0.0000022031249999999998,1.811471546741498
0.0000022187499999999997,1.7666627361301512
0.000002234375,1.717850849349262
0.00000225,1.6654331600732863
0.000002265625,1.6098406137627492
0.00000228125,1.5515248559551464
0.000002296875,1.4909470604935755
0.0000023125,1.4285684520744995
0.000002328125,1.3648423930255795
0.00000234375,1.3002078936020396
0.0000023593749999999998,1.2350844030606845
0.0000023749999999999997,1.1698677419836556
0.000002390625,1.1049270426426294
0.00000240625,1.040602572256832
0.000002421875,0.9772043229387126
0.0000024375,0.9150112613896522
0.000002453125,0.8542711406581702
0.00000246875,0.7952007852884728
0.000002484375,0.7379867698356846
0.0000024999999999999998,0.6827864189279007
0.0000025156249999999997,0.6297290647717542
0.0000025312499999999997,0.5789175052080362
0.000002546875,0.5304296121228931
