Frequency,Noise Gain,(Cin + Cf) / Cf,Op Amp Gain,(Cin || Cf) (Rin || Rf) <br/> Zero
10000,1.0380320004039518,19.888888888888893,2799.73563143182,1.0380183946093302
10500,1.0418501860885026,19.888888888888893,2666.3911141415224,1.0418368930744066
11000,1.0458396429379462,19.888888888888893,2545.1680733852836,1.045826681115122
11500,1.04999841789869,19.888888888888893,2434.4854870211816,1.0499858061094662
12000,1.0543245064881253,19.888888888888893,2333.025836783342,1.054312264022456
12500,1.0588158569905064,19.888888888888893,2239.682407371711,1.058804003601566
13000,1.0634703746252365,19.888888888888893,2153.5187472962944,1.063458930544565
13500,1.0682859256716808,19.888888888888893,2073.737138428914,1.0682749116238812
14000,1.0732603415357302,19.888888888888893,1999.6538220860316,1.0732497787527233
14500,1.0783914227444906,19.888888888888893,1930.6793507561604,1.0783813329793241
15000,1.0836769428566433,19.888888888888893,1866.3028694883567,1.0836673483968664
15500,1.0891146522772388,19.888888888888893,1806.079439599111,1.0891055759578423
16000,1.094702281966888,19.888888888888893,1749.6197391905775,1.094693747182822
16500,1.1004375470365266,19.888888888888893,1696.5816363080498,1.100429577754801
17000,1.106318150220117,19.888888888888893,1646.663249193265,1.106310770991491
17500,1.112341785218799,19.888888888888893,1599.5971962142946,1.112335021189076
18000,1.118506139911146,19.888888888888893,1555.1458041458782,1.1185000168320758
18500,1.1248088994252385,19.888888888888893,1513.0970934905142,1.1248034436650438
19000,1.1312477490693116,19.888888888888893,1473.2613977010262,1.1312429876228476
19500,1.1378203771186894,19.888888888888893,1435.4685025272158,1.137816337617248
20000,1.144524477457642,19.888888888888893,1399.565214464677,1.1445211881784125
21000,1.1583179134182116,19.888888888888893,1332.8876316546925,1.1583162120439008
22000,1.172609811436112,19.888888888888893,1272.2716750801133,1.1726098190485543
23000,1.1873821604939272,19.888888888888893,1216.9267911423758,1.187384003650623
24000,1.2026172434543605,19.888888888888893,1166.1941759915783,1.2026210543112192
25000,1.2182976878412424,19.888888888888893,1119.5204258085428,1.218303604267352
26000,1.2344065084903548,19.888888888888893,1076.437267885785,1.2344146741755624
27000,1.2509271426140716,19.888888888888893,1036.5457959827268,1.2509377071701233
28000,1.2678434778709398,19.888888888888893,999.5040838680536,1.2678565969269069
29000,1.2851398740566182,19.888888888888893,965.017361608983,1.285155709349282
30000,1.3028011790395564,19.888888888888893,932.8301566200284,1.3028198984993982
31000,1.3208127395569818,19.888888888888893,902.7199558052138,1.3208345173903708
32000,1.339160407467312,19.888888888888893,874.4920560460621,1.3391854242354464
33500,1.3672824100852934,19.888888888888893,835.3108112691663,1.3673126378959297
35000,1.3960861751721427,19.888888888888893,799.4888592099113,1.396122056789738
37000,1.435480546656035,19.888888888888893,756.2456834249026,1.4355246941529656
38500,1.4657184066408837,19.888888888888893,726.7626674308407,1.465769328687266
40000,1.4965095248093283,19.888888888888893,699.4916665218152,1.4965677401164643
41500,1.5278203896776932,19.888888888888893,674.1928095136232,1.5278864404902326
43000,1.559619635433741,19.888888888888893,650.6596915031846,1.5596940878743357
45000,1.602727915476697,19.888888888888893,621.7236817101863,1.6028144926451904
47000,1.6465882367870157,19.888888888888893,595.2513688239214,1.6466880466319505
48500,1.6799415128658417,19.888888888888893,576.8305549847125,1.680052010082456
50000,1.7136618676879125,19.888888888888893,559.5154981598018,1.7137837345135711
52000,1.7591567124633087,19.888888888888893,537.9833937756052,1.7592948448966246
54000,1.8052197507449819,19.888888888888893,518.0470104683658,1.805375470333022
56000,1.851808407573993,19.888888888888893,499.5353318368391,1.8519830996756719
58000,1.8988838166676494,19.888888888888893,482.30093149510606,1.8990789317698793
60000,1.9464104777835614,19.888888888888893,466.2160417495684,1.9466275328639342
62500,2.006404212168284,19.888888888888893,447.5582578170561,2.006650929052592
65000,2.0669951620434217,19.888888888888893,430.3363639735708,2.067274153051488
67500,2.1281319348861882,19.888888888888893,414.3907602402409,2.1284459518919627
70000,2.1897684213662076,19.888888888888893,399.5846511532411,2.19012035966502
72500,2.251863185009521,19.888888888888893,385.80011377068604,2.252256087339227
75000,2.3143789253906917,19.888888888888893,372.93495201951134,2.314815986107187
80000,2.4405420426696556,19.888888888888893,349.6178600291349,2.441077631504005
82500,2.5041315348044995,19.888888888888893,339.0196177203181,2.5047218188733527
85000,2.568025551099094,19.888888888888893,329.04505164779835,2.5686743760731305
87500,2.632201446245477,19.888888888888893,319.64068337881594,2.6329128326043296
90000,2.696638614502285,19.888888888888893,310.7589783984775,2.6974167626330634
92500,2.761318272245431,19.888888888888893,302.3575427019001,2.7621675676936284
97500,2.8913379045310266,19.888888888888893,286.8476505501062,2.892343419049367
100000,2.956647806615276,19.888888888888893,279.6745220455519,2.9577387908219905
105000,3.087801658921512,19.888888888888893,266.35332454706094,3.089079341339953
110000,3.2195913401312777,19.888888888888893,254.2435096023489,3.2210781880027515
115000,3.351937284978782,19.888888888888893,243.18702055582867,3.3536576007598873
120000,3.4847713273608294,19.888888888888893,233.05215152378065,3.4867513543147455
125000,3.6180346902427996,19.888888888888893,223.72827582640906,3.620302722738876
130000,3.7516763713025356,19.888888888888893,215.12179120291057,3.754262869792017
135000,3.8856518383535,19.888888888888893,207.15296629535862,3.888589548988313
140000,4.019921968708426,19.888888888888893,199.75346304385542,4.023246047568672
145000,4.154452181782646,19.888888888888893,192.86437181090122,4.158200323676868
150000,4.28921172567481,19.888888888888893,186.4346395743658,4.293424297475099
155000,4.42417308714733,19.888888888888893,180.419802413427,4.428893265619115
160000,4.559311501057015,19.888888888888893,174.78095570945607,4.564585415140877
165000,4.694604540372056,19.888888888888893,169.483911626782,4.700481417872104
170000,4.830031771834991,19.888888888888893,164.49850530749714,4.836564090465332
175000,4.9655744653747655,19.888888888888893,159.79802003116245,4.972818108112363
180000,5.101215347744674,19.888888888888893,155.3587082024422,5.109229762433409
185000,5.236938392724179,19.888888888888893,151.15939003324888,5.245786755871244
190000,5.3727286416895685,19.888888888888893,147.18111560427627,5.382478026391432
195000,5.508572049520727,19.888888888888893,143.40687892780122,5.519293597451827
200000,5.6444553517367115,19.888888888888893,139.82137490969623,5.656224449129695
210000,5.916291809670274,19.888888888888893,133.16263379660498,5.930400046234075
220000,6.188143501646946,19.888888888888893,127.10928908440887,6.204947926687891
230000,6.459922426935997,19.888888888888893,121.5823666092783,6.479820770093742
240000,6.7315450653909314,19.888888888888893,116.51605632055838,6.754978906500215
250000,7.002930793784997,19.888888888888893,111.8550790835441,7.030388838256536
260000,7.274000638035907,19.888888888888893,107.55266123269591,7.306022090166164
270000,7.544676280480426,19.888888888888893,103.56895928688328,7.581854306302946
280000,7.814879263698872,19.888888888888893,99.86982227016277,7.8578645341535225
290000,8.084530348128231,19.888888888888893,96.425810136079,8.134034652452966
300000,8.353548991929554,19.888888888888893,93.21140853030356,8.41034891027704
